Zone_,Code zone (ISO3)_,TAS_V,TDI_V,M_V,crl_n,C_Vol,C_Viande,Q__Vol,D_ Kca,stabilite_politique,acces_leau,Population totale,pib
Îles Salomon,SLB,0.0,71.4,6.92,7.0,3.0,27.17,0.0,143.54,0.2,68.0,643.634,2663.5
Sierra Leone,SLE,53.1,43.8,20.54,155.0,29.0,188.54000000000002,17.0,64.74999999999999,-0.04,60.0,7677.565,1633.7
El Salvador,SLV,90.7,10.7,84.87,853.09,150.0,252.75,136.0,146.2,-0.26,97.0,6266.654,8454.1
Serbie,SRB,94.4,13.3,96.14,2744.59,90.0,533.7,85.0,386.81000000000006,0.09,94.0,7464.88,16611.0
Soudan du Sud,SSD,71.5,39.6,0.0,0.0,0.0,33.02,0.0,0.0,-2.45,41.0,10658.226,20657.0
Sao Tomé-et-Principe,STP,25.0,50.0,2.03,0.0,2.0,8.21,1.0,132.65,0.19,78.0,208.036,3952.9
Suriname,SUR,52.6,94.7,25.05,23.0,19.0,32.43,10.0,241.22,0.13,97.0,587.559,18283.7
Slovaquie,SVK,59.7,52.9,323.78,612.21,76.0,338.96000000000004,71.0,252.03,0.91,100.0,5439.417,30061.6
Slovénie,SVN,101.5,29.9,126.11,265.98,50.0,164.89,68.0,296.98,0.87,100.0,2098.392,36507.6
Suède,SWE,62.8,33.6,1018.74,2075.89,164.0,867.78,157.0,361.2,0.98,100.0,10058.19,51948.0
Eswatini,SWZ,75.0,25.0,11.59,40.0,8.0,35.730000000000004,6.0,149.60999999999999,-0.27,69.0,1151.39,8408.0
Seychelles,SYC,25.0,75.0,82.8,5.15,4.0,9.68,1.0,421.54999999999995,0.79,96.0,101.811,28116.7
République arabe syrienne,SYR,68.2,18.4,53.08,1133.15,131.0,355.74,122.0,114.66,-2.62,94.0,18983.373,20657.0
Tchad,TCD,85.7,14.3,1.46,34.0,6.0,768.83,6.0,227.09000000000003,-1.29,45.0,15085.884,1587.0
Togo,TGO,71.4,28.6,80.00999999999999,262.31,56.0,177.87,40.0,78.35,-0.88,66.0,7852.795,2012.2
Thaïlande,THA,218.1,0.3,1842.09,8293.09,909.0,3379.08,1703.0,239.11999999999998,-0.75,100.0,70898.202,17423.0
Tadjikistan,TJK,13.7,74.5,43.44,740.73,38.0,275.29,7.0,192.37999999999997,-0.67,79.0,8925.525,3252.9
